,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
111211,72003,10714,5978,26643,9378,7153,7755,51031,28857,29291,9690,26980,23372,33775,10392,26820,18725,11815,16394,7321,11106,9794,22028,10187,40266,29710,8644,27930,61911,28707,30007,27386,1625,4826,4167,63254,12117,6514,21503,10541,8716,7980,61339,34265,22666,10309,21450,23200,33152,13414,20119,23550,15294,10736,6275,9557,9952,16280,9797,37465,36642,6302,29773,59234,31909,21855,19744,2100,3495,2893
111312,71220,10308,5355,27676,7794,7820,8975,52443,29409,31084,10421,26462,22862,34741,8919,26426,18537,9562,15824,6841,11454,10511,21267,10024,38521,29149,8296,28000,59858,28081,29074,27981,1589,6622,3933,61798,11947,6528,21015,9509,8733,9284,60371,33883,21996,10425,23474,21983,33453,12519,17954,23105,14104,9635,5021,8588,9770,15522,9157,34524,34679,6168,26699,54070,26972,21014,19745,2352,5065,2737
111413,73575,10986,6016,27382,11161,7805,7637,49890,28775,25863,9608,23825,23797,31943,10394,24977,18106,10177,16493,6041,11996,10124,23066,10653,38665,29540,8606,29098,57909,30272,28647,27127,1315,5423,4170,63389,12122,6425,21747,12217,9651,8154,57302,35924,17992,10059,18617,20953,32136,13073,14990,23077,14291,11429,4605,11831,10216,15410,9179,35841,35143,6444,34730,55641,29787,20678,21088,2594,4760,2861
111514,71073,10635,5401,26378,10129,7518,7123,49525,27470,29201,9849,25734,20768,34131,7914,26270,18604,9766,15834,6241,11237,10350,21722,10299,35973,28419,8061,28165,52318,26961,28269,27360,1481,5428,4149,62037,11993,6308,19260,10478,8691,8168,57637,31972,21570,9961,17675,20929,32533,11849,19276,22726,14272,8998,5469,9057,9937,14282,9337,31172,32212,6331,27961,52371,28048,20909,18895,2148,4966,2813
111716,71335,10387,5256,24820,9808,7936,7811,51945,28170,29205,9164,27271,21747,31921,9285,23313,18596,9311,15922,6267,11004,9781,21207,10422,37179,28258,7952,26901,55438,25957,27769,26124,1474,5002,3467,62815,11842,6183,20578,11943,8479,8983,58009,31573,19621,9688,21449,20318,31920,13086,16530,21990,13458,10306,5501,9321,9475,15443,9326,31765,32224,6243,27387,51709,25576,17938,20795,2234,3847,2033
112112,70867,11001,5805,28616,8458,8233,5351,49499,28437,27503,10202,24546,19237,34116,8184,25859,18149,12941,16819,6472,11353,10256,25039,10547,41593,30726,8536,27752,59574,31272,28425,26789,1666,3400,4300,62437,12257,6558,21621,7293,8367,6631,59148,31902,19892,9165,16356,18795,32958,11424,18138,23716,15985,11906,6259,10690,9316,17159,9382,37319,34695,5797,28991,53711,30243,20058,20247,2330,2214,2822
112314,73455,11217,5906,27840,11341,8236,6014,51496,29132,26397,10204,26432,22940,33904,9437,26689,18287,12322,16419,7048,11828,10659,25265,10932,41335,31726,8685,28779,60556,32542,31186,29208,1168,5371,4502,63518,12388,6535,21753,12712,9906,6651,58105,32323,18012,10119,24708,22947,33130,12525,20288,21929,16162,10444,7822,10519,10430,16721,10056,36440,37336,6414,30918,53911,33198,23198,19880,1816,4771,3144
112516,73088,10970,5718,26553,11052,7906,7718,51418,29773,25798,9740,25529,22039,33913,8553,25798,18461,12159,16208,6144,11234,10491,23529,11128,39605,29909,8011,28852,56197,29766,29418,28401,1368,5573,4298,64200,12169,6086,21323,13866,10071,8263,60482,33657,17873,11086,21525,20728,33214,11508,19955,22841,15305,10134,4667,9379,10040,16528,9786,35709,35157,6415,30273,53777,33002,22362,19943,1648,4581,3067
112819,73210,11273,5867,27643,11190,7578,7372,50796,30261,23659,10063,27573,22960,32401,9660,25900,19628,10947,16594,6398,11800,10201,24044,11111,39993,29333,8440,27782,56318,30083,29672,28617,1104,4176,4433,63375,12217,6569,20658,11841,9292,6730,57347,33228,16391,10028,22843,21768,33198,12987,19973,23601,14932,10017,5839,9773,10153,17313,10020,37032,35838,6230,28516,56031,30417,22491,20221,2058,3073,3103
112920,72059,10997,5472,27478,8494,8186,6915,51695,30233,29980,10670,27950,22203,35275,8560,25628,18819,12546,16152,7027,11372,10775,24652,10111,41485,31842,7950,27935,55693,32513,28842,29352,1036,6006,4011,62194,12184,6184,21747,9099,9506,7755,59250,35185,20173,9622,22365,22385,32621,12067,16134,23143,15630,9993,6635,9717,10173,16316,9365,35316,36262,6222,30193,52481,33476,19628,20815,2241,5401,2591
113215,74149,10983,5894,28152,11482,8214,7885,51802,30665,28097,10072,28785,23347,32718,10101,25565,19077,11224,16502,7086,11574,10669,23382,10854,39436,31015,8588,27699,58421,30802,29225,29053,941,6262,4016,64609,12210,6639,22220,13630,9239,8625,58719,33899,17555,10366,22405,23333,33128,13432,17605,23592,15357,10756,5732,9919,10224,16187,9569,35128,36331,6433,28403,55514,30374,22343,21351,2113,5231,2912
113316,72588,10962,5798,27014,10951,7033,6995,52183,29180,29245,10016,24543,23362,33164,9329,24670,18279,11137,15963,7104,11610,10538,22094,10750,37812,27410,8120,27463,56275,25993,27061,27007,1931,4808,3452,63389,11670,6457,20909,12794,8297,7574,58535,33375,20184,9961,20557,20966,32131,13348,17170,22804,15084,10138,4847,9622,9999,14647,9654,34275,34845,6246,28887,53321,28733,19324,20014,2093,3489,2675
